Operation,MessageSize,Processes,AvgTime(seconds)
LockUnloc,1,3,4.84E-06
FencePut,1,3,4.97E-06
SendRecv,1,3,2.11E-06
LockUnloc,1,3,4.73E-06
LockUnloc,8,3,4.60E-06
FencePut,8,3,6.10E-06
SendRecv,8,3,3.02E-06
LockUnloc,8,3,8.57E-06
LockUnloc,64,3,2.14E-06
FencePut,64,3,3.19E-06
SendRecv,64,3,2.96E-06
LockUnloc,64,3,4.87E-06
LockUnloc,512,3,7.84E-06
FencePut,512,3,5.00E-06
SendRecv,512,3,3.89E-06
LockUnloc,512,3,6.47E-06
LockUnloc,4096,3,4.42E-06
FencePut,4096,3,6.01E-05
SendRecv,4096,3,1.51E-06
LockUnloc,4096,3,5.62E-06
LockUnloc,32768,3,5.78E-06
FencePut,32768,3,4.87E-06
SendRecv,32768,3,1.53E-06
LockUnloc,32768,3,7.42E-06
LockUnloc,262144,3,2.02E-06
FencePut,262144,3,2.98E-06
SendRecv,262144,3,2.59E-06
LockUnloc,262144,3,4.36E-06
