-------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations UserCounters...
-------------------------------------------------------------------------------------------------------------------------------
benchmark_sendrecv/manual_time                                             1.00 ms         1.00 ms          697 bytes_per_second=14.8505Gi/s
benchmark_channel_sendrecv/manual_time                                    0.559 ms        0.557 ms         1259 bytes_per_second=26.676Gi/s
benchmark_2dhalo/manual_time                                              0.731 ms        0.730 ms          952 active_ranks=1 bytes_per_second=128.177Mi/s nx=512
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time                    1.25 us         2.79 us       560028 bytes=2
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time                    1.25 us         2.79 us       562070 bytes=16
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time                   1.25 us         2.72 us       562792 bytes=128
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time                  1.27 us         2.73 us       551417 bytes=1.024k
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time                 1.36 us         2.69 us       515970 bytes=8.192k
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time                5.76 us         6.26 us       121241 bytes=65.536k
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time               20.2 us         21.0 us        34530 bytes=524.288k
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time               133 us          133 us         5273 bytes=4.1943M
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time             1324 us         1321 us          529 bytes=33.5544M
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time           13446 us        13408 us           52 bytes=268.435M
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time           27720 us        27641 us           25 bytes=536.871M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time              0.614 us         2.12 us      1139171 bytes=2
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time              0.623 us         2.10 us      1130364 bytes=16
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/64/manual_time             0.661 us         2.13 us      1059748 bytes=128
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/512/manual_time            0.708 us         2.20 us       994785 bytes=1.024k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/4096/manual_time           0.883 us         2.38 us       799142 bytes=8.192k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/32768/manual_time           5.34 us         5.82 us       133660 bytes=65.536k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/262144/manual_time          19.6 us         20.1 us        35917 bytes=524.288k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/2097152/manual_time          132 us          132 us         5299 bytes=4.1943M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/16777216/manual_time        1323 us         1321 us          531 bytes=33.5544M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/134217728/manual_time      13529 us        13490 us           52 bytes=268.435M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/268435456/manual_time      27476 us        27397 us           25 bytes=536.871M
benchmark_osu_latency_MPI_isendirecv/1/manual_time                         1.29 us         1.77 us       541169 bytes=2
