-------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations UserCounters...
-------------------------------------------------------------------------------------------------------------------------------
benchmark_sendrecv/manual_time                                            0.855 ms        0.853 ms          789 bytes_per_second=17.4207Gi/s
benchmark_channel_sendrecv/manual_time                                    0.478 ms        0.477 ms         1394 bytes_per_second=31.1757Gi/s
benchmark_2dhalo/manual_time                                              0.837 ms        0.836 ms          847 active_ranks=1 bytes_per_second=112.049Mi/s nx=512
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time                    1.57 us         2.15 us       444604 bytes=2
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time                    1.57 us         2.15 us       445925 bytes=16
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time                   1.58 us         2.16 us       445274 bytes=128
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time                  1.61 us         2.18 us       437777 bytes=1.024k
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time                 1.69 us         2.27 us       412672 bytes=8.192k
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time                5.39 us         5.91 us       129518 bytes=65.536k
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time               14.8 us         15.4 us        46034 bytes=524.288k
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time              97.4 us         98.0 us         7217 bytes=4.1943M
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time              768 us          767 us          916 bytes=33.5544M
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time            9189 us         9146 us           73 bytes=268.435M
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time           18290 us        18198 us           37 bytes=536.871M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time              0.625 us         1.16 us      1106987 bytes=2
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time              0.622 us         1.16 us      1128010 bytes=16
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/64/manual_time             0.631 us         1.16 us      1123984 bytes=128
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/512/manual_time            0.668 us         1.20 us      1051045 bytes=1.024k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/4096/manual_time           0.783 us         1.32 us       895631 bytes=8.192k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/32768/manual_time           2.03 us         2.60 us       344867 bytes=65.536k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/262144/manual_time          15.2 us         15.7 us        45984 bytes=524.288k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/2097152/manual_time          115 us          115 us         5951 bytes=4.1943M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/16777216/manual_time         942 us          940 us          753 bytes=33.5544M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/134217728/manual_time       9256 us         9212 us           72 bytes=268.435M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/268435456/manual_time      18558 us        18464 us           37 bytes=536.871M
benchmark_osu_latency_MPI_isendirecv/1/manual_time                        0.389 us        0.757 us      1786407 bytes=2
benchmark_osu_latency_MPI_isendirecv/8/manual_time                        0.390 us        0.759 us      1789142 bytes=16
benchmark_osu_latency_MPI_isendirecv/64/manual_time                       0.395 us        0.765 us      1782213 bytes=128
benchmark_osu_latency_MPI_isendirecv/512/manual_time                      0.470 us        0.842 us      1520456 bytes=1.024k
benchmark_osu_latency_MPI_isendirecv/4096/manual_time                     0.576 us        0.951 us      1221609 bytes=8.192k
benchmark_osu_latency_MPI_isendirecv/32768/manual_time                     4.24 us         4.73 us       164807 bytes=65.536k
benchmark_osu_latency_MPI_isendirecv/262144/manual_time                    12.5 us         13.0 us        56026 bytes=524.288k
benchmark_osu_latency_MPI_isendirecv/2097152/manual_time                   97.4 us         97.8 us         7185 bytes=4.1943M
benchmark_osu_latency_MPI_isendirecv/16777216/manual_time                   760 us          758 us          926 bytes=33.5544M
benchmark_osu_latency_MPI_isendirecv/134217728/manual_time                 9233 us         9200 us           73 bytes=268.435M
benchmark_osu_latency_MPI_isendirecv/268435456/manual_time                18381 us        18321 us           37 bytes=536.871M
benchmark_osu_latency_MPI_sendrecv/1/manual_time                          0.246 us        0.596 us      2859690 bytes=2
benchmark_osu_latency_MPI_sendrecv/8/manual_time                          0.244 us        0.593 us      2845021 bytes=16
benchmark_osu_latency_MPI_sendrecv/64/manual_time                         0.250 us        0.600 us      2790875 bytes=128
benchmark_osu_latency_MPI_sendrecv/512/manual_time                        0.358 us        0.709 us      1943426 bytes=1.024k
benchmark_osu_latency_MPI_sendrecv/4096/manual_time                       0.469 us        0.819 us      1490353 bytes=8.192k
benchmark_osu_latency_MPI_sendrecv/32768/manual_time                       1.73 us         2.14 us       404227 bytes=65.536k
benchmark_osu_latency_MPI_sendrecv/262144/manual_time                      13.8 us         14.2 us        50558 bytes=524.288k
benchmark_osu_latency_MPI_sendrecv/2097152/manual_time                      107 us          107 us         6549 bytes=4.1943M
benchmark_osu_latency_MPI_sendrecv/16777216/manual_time                     858 us          856 us          816 bytes=33.5544M
benchmark_osu_latency_MPI_sendrecv/134217728/manual_time                   9242 us         9214 us           72 bytes=268.435M
benchmark_osu_latency_MPI_sendrecv/268435456/manual_time                  18453 us        18384 us           37 bytes=536.871M
benchmark_lock_unlock_put/1/manual_time                                    4.59 us         5.06 us       128022 bytes_per_second=1.66104Mi/s
benchmark_lock_unlock_put/8/manual_time                                    4.83 us         5.29 us       122217 bytes_per_second=12.6346Mi/s
benchmark_lock_unlock_put/64/manual_time                                   5.27 us         5.75 us       113529 bytes_per_second=92.6119Mi/s
benchmark_lock_unlock_put/512/manual_time                                  6.14 us         6.63 us        91103 bytes_per_second=636.04Mi/s
benchmark_lock_unlock_put/4096/manual_time                                 7.64 us         8.11 us        76155 bytes_per_second=3.99427Gi/s
benchmark_lock_unlock_put/32768/manual_time                                18.3 us         18.8 us        36166 bytes_per_second=13.3341Gi/s
benchmark_lock_unlock_put/262144/manual_time                                109 us          109 us         5920 bytes_per_second=17.9054Gi/s
benchmark_lock_unlock_get/1/manual_time                                    5.57 us         6.19 us       126207 bytes_per_second=1.37092Mi/s
benchmark_lock_unlock_get/8/manual_time                                    5.68 us         6.30 us       123032 bytes_per_second=10.7421Mi/s
benchmark_lock_unlock_get/64/manual_time                                   5.91 us         6.53 us       116978 bytes_per_second=82.5758Mi/s
benchmark_lock_unlock_get/512/manual_time                                  6.40 us         7.01 us       108181 bytes_per_second=610.603Mi/s
benchmark_lock_unlock_get/4096/manual_time                                 7.68 us         8.30 us        90883 bytes_per_second=3.97153Gi/s
benchmark_lock_unlock_get/32768/manual_time                                18.5 us         19.1 us        37888 bytes_per_second=13.1873Gi/s
benchmark_lock_unlock_get/262144/manual_time                                133 us          133 us         5278 bytes_per_second=14.7255Gi/s
benchmark_lock_unlock_accumulate/1/manual_time                             7.52 us         8.00 us        77924 bytes_per_second=1.01443Mi/s
benchmark_lock_unlock_accumulate/8/manual_time                             7.68 us         8.16 us        82133 bytes_per_second=7.9491Mi/s
benchmark_lock_unlock_accumulate/64/manual_time                            8.59 us         9.07 us        74150 bytes_per_second=56.845Mi/s
benchmark_lock_unlock_accumulate/512/manual_time                           82.9 us         45.2 us         7651 bytes_per_second=47.134Mi/s
benchmark_lock_unlock_accumulate/4096/manual_time                          14.3 us         14.7 us        46622 bytes_per_second=2.139Gi/s
benchmark_lock_unlock_accumulate/32768/manual_time                          136 us          101 us         4837 bytes_per_second=1.79024Gi/s
benchmark_lock_unlock_accumulate/262144/manual_time                         503 us          459 us         1173 bytes_per_second=3.88236Gi/s
benchmark_fence_put/1/manual_time                                          4.80 us         5.18 us       104992 bytes_per_second=1.58847Mi/s
benchmark_fence_put/8/manual_time                                          5.01 us         5.41 us       141126 bytes_per_second=12.1903Mi/s
benchmark_fence_put/64/manual_time                                         5.76 us         6.13 us        97250 bytes_per_second=84.7773Mi/s
benchmark_fence_put/512/manual_time                                        6.68 us         7.05 us        91666 bytes_per_second=584.693Mi/s
benchmark_fence_put/4096/manual_time                                       8.92 us         9.26 us        72920 bytes_per_second=3.42192Gi/s
benchmark_fence_put/32768/manual_time                                      20.8 us         20.9 us        31350 bytes_per_second=11.7612Gi/s
benchmark_fence_put/262144/manual_time                                      116 us          115 us         5344 bytes_per_second=16.8439Gi/s
benchmark_fence_get/1/manual_time                                          7.34 us         7.88 us        98807 bytes_per_second=1.03934Mi/s
benchmark_fence_get/8/manual_time                                          7.35 us         7.90 us        95062 bytes_per_second=8.30335Mi/s
benchmark_fence_get/64/manual_time                                         7.49 us         8.04 us        92730 bytes_per_second=65.1947Mi/s
benchmark_fence_get/512/manual_time                                        7.51 us         8.07 us        93354 bytes_per_second=520.008Mi/s
benchmark_fence_get/4096/manual_time                                       9.56 us         10.1 us        73143 bytes_per_second=3.19229Gi/s
benchmark_fence_get/32768/manual_time                                      20.3 us         20.9 us        34283 bytes_per_second=11.9972Gi/s
benchmark_fence_get/262144/manual_time                                      136 us          136 us         5165 bytes_per_second=14.4046Gi/s
benchmark_fence_accumulate/1/manual_time                                   14.5 us         14.8 us        44123 bytes_per_second=539.803Ki/s
benchmark_fence_accumulate/8/manual_time                                   14.8 us         15.1 us        43328 bytes_per_second=4.12677Mi/s
benchmark_fence_accumulate/64/manual_time                                  15.9 us         16.1 us        40508 bytes_per_second=30.743Mi/s
benchmark_fence_accumulate/512/manual_time                                 93.1 us         54.0 us         6439 bytes_per_second=41.9437Mi/s
benchmark_fence_accumulate/4096/manual_time                                22.1 us         22.3 us        30072 bytes_per_second=1.38119Gi/s
benchmark_fence_accumulate/32768/manual_time                                161 us          122 us         4033 bytes_per_second=1.51648Gi/s
benchmark_fence_accumulate/262144/manual_time                               499 us          455 us         1102 bytes_per_second=3.91212Gi/s
benchmark_pscw_put/1/manual_time                                           11.3 us         11.7 us        54177 bytes_per_second=688.787Ki/s
benchmark_pscw_put/8/manual_time                                           11.5 us         11.8 us        54174 bytes_per_second=5.31664Mi/s
benchmark_pscw_put/64/manual_time                                          12.0 us         12.3 us        51959 bytes_per_second=40.612Mi/s
benchmark_pscw_put/512/manual_time                                         13.6 us         13.9 us        46754 bytes_per_second=287.307Mi/s
benchmark_pscw_put/4096/manual_time                                        13.3 us         13.6 us        47756 bytes_per_second=2.2886Gi/s
benchmark_pscw_put/32768/manual_time                                       26.5 us         26.7 us        25512 bytes_per_second=9.20606Gi/s
benchmark_pscw_put/262144/manual_time                                       118 us          116 us         5256 bytes_per_second=16.6116Gi/s
benchmark_pscw_get/1/manual_time                                           12.4 us         12.7 us        50754 bytes_per_second=631.687Ki/s
benchmark_pscw_get/8/manual_time                                           12.5 us         12.9 us        50167 bytes_per_second=4.8735Mi/s
benchmark_pscw_get/64/manual_time                                          12.7 us         13.0 us        48803 bytes_per_second=38.3281Mi/s
benchmark_pscw_get/512/manual_time                                         14.8 us         15.1 us        43177 bytes_per_second=263.404Mi/s
benchmark_pscw_get/4096/manual_time                                        14.3 us         14.6 us        44222 bytes_per_second=2.13204Gi/s
benchmark_pscw_get/32768/manual_time                                       29.6 us         29.7 us        22832 bytes_per_second=8.24355Gi/s
benchmark_pscw_get/262144/manual_time                                       119 us          117 us         5252 bytes_per_second=16.4574Gi/s
benchmark_pscw_accumulate/1/manual_time                                    21.9 us         22.1 us        30363 bytes_per_second=357.249Ki/s
benchmark_pscw_accumulate/8/manual_time                                    22.2 us         22.4 us        30009 bytes_per_second=2.75507Mi/s
benchmark_pscw_accumulate/64/manual_time                                   23.3 us         23.5 us        28689 bytes_per_second=20.9496Mi/s
benchmark_pscw_accumulate/512/manual_time                                   101 us         62.2 us         5981 bytes_per_second=38.4887Mi/s
benchmark_pscw_accumulate/4096/manual_time                                  112 us         73.4 us         5531 bytes_per_second=278.904Mi/s
benchmark_pscw_accumulate/32768/manual_time                                 168 us          130 us         3852 bytes_per_second=1.45155Gi/s
benchmark_pscw_accumulate/262144/manual_time                                512 us          467 us         1043 bytes_per_second=3.81678Gi/s
benchmark_sendrecv_comparison/1/manual_time                               0.186 us        0.664 us      3749853 bytes_per_second=81.8956Mi/s
benchmark_sendrecv_comparison/8/manual_time                               0.191 us        0.674 us      3651685 bytes_per_second=637.468Mi/s
benchmark_sendrecv_comparison/64/manual_time                              0.258 us        0.738 us      2685368 bytes_per_second=3.6894Gi/s
benchmark_sendrecv_comparison/512/manual_time                             0.365 us        0.851 us      1907035 bytes_per_second=20.8745Gi/s
benchmark_sendrecv_comparison/4096/manual_time                             1.65 us         2.17 us       424163 bytes_per_second=37.0833Gi/s
benchmark_sendrecv_comparison/32768/manual_time                            14.6 us         15.1 us        47970 bytes_per_second=33.4732Gi/s
