--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
--------------------------------------------------------------------------------------------------------------------------------------
benchmark_sendrecv/manual_time_mean                                               1.89 ms         1.88 ms           50 bytes_per_second=7.89989Gi/s
benchmark_sendrecv/manual_time_median                                             1.89 ms         1.88 ms           50 bytes_per_second=7.89932Gi/s
benchmark_sendrecv/manual_time_stddev                                            0.013 ms        0.013 ms           50 bytes_per_second=58.528Mi/s
benchmark_sendrecv/manual_time_cv                                                 0.71 %          0.70 %            50 bytes_per_second=0.72%
benchmark_channel_sendrecv/manual_time_mean                                       1.02 ms         1.02 ms           50 bytes_per_second=14.6347Gi/s
benchmark_channel_sendrecv/manual_time_median                                     1.01 ms         1.01 ms           50 bytes_per_second=14.6978Gi/s
benchmark_channel_sendrecv/manual_time_stddev                                    0.015 ms        0.015 ms           50 bytes_per_second=214.58Mi/s
benchmark_channel_sendrecv/manual_time_cv                                         1.46 %          1.44 %            50 bytes_per_second=1.43%
benchmark_2dhalo/manual_time_mean                                                0.018 ms        0.019 ms           50 active_ranks=1 bytes_per_second=5.08174Gi/s nx=512
benchmark_2dhalo/manual_time_median                                              0.018 ms        0.019 ms           50 active_ranks=1 bytes_per_second=5.07739Gi/s nx=512
benchmark_2dhalo/manual_time_stddev                                              0.000 ms        0.000 ms           50 active_ranks=4.60885n bytes_per_second=21.8372Mi/s nx=2.35973u
benchmark_2dhalo/manual_time_cv                                                   0.42 %          0.40 %            50 active_ranks=0.00% bytes_per_second=0.42% nx=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time_mean                     0.711 us         2.57 us           50 bytes=2
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time_median                   0.712 us         2.57 us           50 bytes=2
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time_stddev                   0.003 us        0.004 us           50 bytes=9.2177n
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time_cv                        0.48 %          0.14 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time_mean                     0.709 us         2.57 us           50 bytes=16
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time_median                   0.709 us         2.57 us           50 bytes=16
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time_stddev                   0.003 us        0.003 us           50 bytes=73.7416n
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time_cv                        0.37 %          0.12 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time_mean                    0.914 us         2.78 us           50 bytes=128
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time_median                  0.914 us         2.78 us           50 bytes=128
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time_stddev                  0.002 us        0.002 us           50 bytes=589.933n
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time_cv                       0.22 %          0.07 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time_mean                    1.79 us         3.65 us           50 bytes=1.024k
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time_median                  1.79 us         3.65 us           50 bytes=1.024k
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time_stddev                 0.022 us        0.022 us           50 bytes=4.71946u
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time_cv                      1.22 %          0.59 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time_mean                   9.24 us         11.1 us           50 bytes=8.192k
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time_median                 9.27 us         11.1 us           50 bytes=8.192k
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time_stddev                0.152 us        0.153 us           50 bytes=37.7557u
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time_cv                     1.64 %          1.38 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time_mean                  5.99 us         6.50 us           50 bytes=65.536k
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time_median                5.88 us         6.39 us           50 bytes=65.536k
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time_stddev               0.718 us        0.717 us           50 bytes=302.046u
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time_cv                   11.99 %         11.03 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time_mean                 15.3 us         15.7 us           50 bytes=524.288k
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time_median               14.6 us         15.1 us           50 bytes=524.288k
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time_stddev               1.08 us         1.07 us           50 bytes=2.41637m
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time_cv                   7.05 %          6.81 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time_mean                 143 us          143 us           50 bytes=4.1943M
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time_median               141 us          141 us           50 bytes=4.1943M
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time_stddev              15.0 us         15.0 us           50 bytes=0.0193309
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time_cv                 10.50 %         10.45 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time_mean               1220 us         1218 us           50 bytes=33.5544M
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time_median             1171 us         1169 us           50 bytes=33.5544M
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time_stddev              243 us          241 us           50 bytes=0.154647
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time_cv                19.90 %         19.79 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time_mean             10959 us        10913 us           50 bytes=268.435M
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time_median           10869 us        10821 us           50 bytes=268.435M
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time_stddev             653 us          650 us           50 bytes=1.23718
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time_cv                5.96 %          5.96 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time_mean             21908 us        21800 us           50 bytes=536.871M
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time_median           21815 us        21706 us           50 bytes=536.871M
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time_stddev             654 us          652 us           50 bytes=2.47436
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time_cv                2.98 %          2.99 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time_mean                0.437 us         2.29 us           50 bytes=2
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time_median              0.437 us         2.29 us           50 bytes=2
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time_stddev              0.002 us        0.003 us           50 bytes=9.2177n
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time_cv                   0.41 %          0.11 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time_mean                0.437 us         2.29 us           50 bytes=16
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time_median              0.437 us         2.29 us           50 bytes=16
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time_stddev              0.001 us        0.002 us           50 bytes=73.7416n
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time_cv                   0.31 %          0.07 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/64/manual_time_mean               0.645 us         2.50 us           50 bytes=128
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/64/manual_time_median             0.644 us         2.50 us           50 bytes=128
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/64/manual_time_stddev             0.002 us        0.002 us           50 bytes=589.933n
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/64/manual_time_cv                  0.29 %          0.08 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/512/manual_time_mean               1.47 us         3.29 us           50 bytes=1.024k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/512/manual_time_median             1.47 us         3.29 us           50 bytes=1.024k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/512/manual_time_stddev            0.020 us        0.031 us           50 bytes=4.71946u
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/512/manual_time_cv                 1.39 %          0.95 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/4096/manual_time_mean              9.25 us         11.1 us           50 bytes=8.192k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/4096/manual_time_median            9.25 us         11.1 us           50 bytes=8.192k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/4096/manual_time_stddev           0.039 us        0.039 us           50 bytes=37.7557u
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/4096/manual_time_cv                0.43 %          0.36 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/32768/manual_time_mean             63.6 us         65.3 us           50 bytes=65.536k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/32768/manual_time_median           65.0 us         66.7 us           50 bytes=65.536k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/32768/manual_time_stddev           4.56 us         4.57 us           50 bytes=302.046u
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/32768/manual_time_cv               7.18 %          7.00 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/262144/manual_time_mean            13.2 us         14.9 us           50 bytes=524.288k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/262144/manual_time_median          13.0 us         14.7 us           50 bytes=524.288k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/262144/manual_time_stddev         0.364 us        0.363 us           50 bytes=2.41637m
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/262144/manual_time_cv              2.77 %          2.44 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/2097152/manual_time_mean            112 us          113 us           50 bytes=4.1943M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/2097152/manual_time_median          112 us          113 us           50 bytes=4.1943M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/2097152/manual_time_stddev        0.101 us        0.092 us           50 bytes=0.0193309
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/2097152/manual_time_cv             0.09 %          0.08 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/16777216/manual_time_mean           969 us          968 us           50 bytes=33.5544M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/16777216/manual_time_median         968 us          968 us           50 bytes=33.5544M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/16777216/manual_time_stddev        3.62 us         3.64 us           50 bytes=0.154647
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/16777216/manual_time_cv            0.37 %          0.38 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/134217728/manual_time_mean        11873 us        11816 us           50 bytes=268.435M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/134217728/manual_time_median      11869 us        11816 us           50 bytes=268.435M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/134217728/manual_time_stddev       45.4 us         45.2 us           50 bytes=1.23718
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/134217728/manual_time_cv           0.38 %          0.38 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/268435456/manual_time_mean        23673 us        23551 us           50 bytes=536.871M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/268435456/manual_time_median      23679 us        23565 us           50 bytes=536.871M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/268435456/manual_time_stddev       53.1 us         50.6 us           50 bytes=2.47436
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/268435456/manual_time_cv           0.22 %          0.21 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/1/manual_time_mean                           1.35 us         1.85 us           50 bytes=2
benchmark_osu_latency_MPI_isendirecv/1/manual_time_median                         1.35 us         1.85 us           50 bytes=2
benchmark_osu_latency_MPI_isendirecv/1/manual_time_stddev                        0.001 us        0.002 us           50 bytes=9.2177n
benchmark_osu_latency_MPI_isendirecv/1/manual_time_cv                             0.10 %          0.09 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/8/manual_time_mean                           1.35 us         1.85 us           50 bytes=16
benchmark_osu_latency_MPI_isendirecv/8/manual_time_median                         1.35 us         1.85 us           50 bytes=16
benchmark_osu_latency_MPI_isendirecv/8/manual_time_stddev                        0.002 us        0.002 us           50 bytes=73.7416n
benchmark_osu_latency_MPI_isendirecv/8/manual_time_cv                             0.12 %          0.10 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/64/manual_time_mean                          1.55 us         2.05 us           50 bytes=128
benchmark_osu_latency_MPI_isendirecv/64/manual_time_median                        1.55 us         2.05 us           50 bytes=128
benchmark_osu_latency_MPI_isendirecv/64/manual_time_stddev                       0.002 us        0.002 us           50 bytes=589.933n
benchmark_osu_latency_MPI_isendirecv/64/manual_time_cv                            0.12 %          0.10 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/512/manual_time_mean                         2.25 us         2.74 us           50 bytes=1.024k
benchmark_osu_latency_MPI_isendirecv/512/manual_time_median                       2.25 us         2.75 us           50 bytes=1.024k
benchmark_osu_latency_MPI_isendirecv/512/manual_time_stddev                      0.035 us        0.034 us           50 bytes=4.71946u
benchmark_osu_latency_MPI_isendirecv/512/manual_time_cv                           1.54 %          1.25 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/4096/manual_time_mean                        3.13 us         3.61 us           50 bytes=8.192k
benchmark_osu_latency_MPI_isendirecv/4096/manual_time_median                      3.13 us         3.61 us           50 bytes=8.192k
benchmark_osu_latency_MPI_isendirecv/4096/manual_time_stddev                     0.014 us        0.015 us           50 bytes=37.7557u
benchmark_osu_latency_MPI_isendirecv/4096/manual_time_cv                          0.45 %          0.40 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/32768/manual_time_mean                       5.53 us         7.06 us           50 bytes=65.536k
benchmark_osu_latency_MPI_isendirecv/32768/manual_time_median                     5.45 us         6.98 us           50 bytes=65.536k
benchmark_osu_latency_MPI_isendirecv/32768/manual_time_stddev                    0.572 us        0.580 us           50 bytes=302.046u
benchmark_osu_latency_MPI_isendirecv/32768/manual_time_cv                        10.35 %          8.21 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/262144/manual_time_mean                      14.9 us         16.2 us           50 bytes=524.288k
benchmark_osu_latency_MPI_isendirecv/262144/manual_time_median                    14.6 us         16.0 us           50 bytes=524.288k
benchmark_osu_latency_MPI_isendirecv/262144/manual_time_stddev                    1.99 us         1.99 us           50 bytes=2.41637m
benchmark_osu_latency_MPI_isendirecv/262144/manual_time_cv                       13.40 %         12.27 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/2097152/manual_time_mean                      130 us          130 us           50 bytes=4.1943M
benchmark_osu_latency_MPI_isendirecv/2097152/manual_time_median                    128 us          128 us           50 bytes=4.1943M
benchmark_osu_latency_MPI_isendirecv/2097152/manual_time_stddev                   14.6 us         14.6 us           50 bytes=0.0193309
benchmark_osu_latency_MPI_isendirecv/2097152/manual_time_cv                      11.27 %         11.21 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/16777216/manual_time_mean                    1126 us         1124 us           50 bytes=33.5544M
benchmark_osu_latency_MPI_isendirecv/16777216/manual_time_median                  1091 us         1090 us           50 bytes=33.5544M
benchmark_osu_latency_MPI_isendirecv/16777216/manual_time_stddev                   242 us          241 us           50 bytes=0.154647
benchmark_osu_latency_MPI_isendirecv/16777216/manual_time_cv                     21.46 %         21.44 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/134217728/manual_time_mean                  10867 us        10845 us           50 bytes=268.435M
benchmark_osu_latency_MPI_isendirecv/134217728/manual_time_median                10756 us        10735 us           50 bytes=268.435M
benchmark_osu_latency_MPI_isendirecv/134217728/manual_time_stddev                  812 us          810 us           50 bytes=1.23718
benchmark_osu_latency_MPI_isendirecv/134217728/manual_time_cv                     7.48 %          7.47 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/268435456/manual_time_mean                  21646 us        21589 us           50 bytes=536.871M
benchmark_osu_latency_MPI_isendirecv/268435456/manual_time_median                21448 us        21393 us           50 bytes=536.871M
benchmark_osu_latency_MPI_isendirecv/268435456/manual_time_stddev                 1442 us         1439 us           50 bytes=2.47436
benchmark_osu_latency_MPI_isendirecv/268435456/manual_time_cv                     6.66 %          6.66 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/1/manual_time_mean                             1.26 us         1.76 us           50 bytes=2
benchmark_osu_latency_MPI_sendrecv/1/manual_time_median                           1.26 us         1.76 us           50 bytes=2
benchmark_osu_latency_MPI_sendrecv/1/manual_time_stddev                          0.001 us        0.001 us           50 bytes=9.2177n
benchmark_osu_latency_MPI_sendrecv/1/manual_time_cv                               0.06 %          0.06 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/8/manual_time_mean                             1.26 us         1.76 us           50 bytes=16
benchmark_osu_latency_MPI_sendrecv/8/manual_time_median                           1.26 us         1.76 us           50 bytes=16
benchmark_osu_latency_MPI_sendrecv/8/manual_time_stddev                          0.000 us        0.001 us           50 bytes=73.7416n
benchmark_osu_latency_MPI_sendrecv/8/manual_time_cv                               0.04 %          0.04 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/64/manual_time_mean                            1.46 us         1.95 us           50 bytes=128
benchmark_osu_latency_MPI_sendrecv/64/manual_time_median                          1.46 us         1.96 us           50 bytes=128
benchmark_osu_latency_MPI_sendrecv/64/manual_time_stddev                         0.010 us        0.010 us           50 bytes=589.933n
benchmark_osu_latency_MPI_sendrecv/64/manual_time_cv                              0.67 %          0.50 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/512/manual_time_mean                           2.16 us         2.65 us           50 bytes=1.024k
benchmark_osu_latency_MPI_sendrecv/512/manual_time_median                         2.19 us         2.68 us           50 bytes=1.024k
benchmark_osu_latency_MPI_sendrecv/512/manual_time_stddev                        0.060 us        0.060 us           50 bytes=4.71946u
benchmark_osu_latency_MPI_sendrecv/512/manual_time_cv                             2.78 %          2.26 %            50 bytes=0.00%
benchmark_osu_latency_MPI_sendrecv/4096/manual_time_mean                          3.05 us         3.53 us           50 bytes=8.192k
benchmark_osu_latency_MPI_sendrecv/4096/manual_time_median                        3.05 us         3.53 us           50 bytes=8.192k
benchmark_osu_latency_MPI_sendrecv/4096/manual_time_stddev                       0.003 us        0.003 us           50 bytes=37.7557u
benchmark_osu_latency_MPI_sendrecv/4096/manual_time_cv                            0.10 %          0.09 %            50 bytes=0.00%
