Operation,MessageSize,Time_us,Throughput_Gis
LockUnlockPut,1,2.99,0.00249
LockUnlockPut,8,2.99,0.01995
LockUnlockPut,64,3.02,0.1581
LockUnlockPut,512,3.39,1.1238
LockUnlockPut,4096,5.03,6.0655
LockUnlockPut,32768,19.4,12.5738
LockUnlockPut,262144,159,12.3055
LockUnlockSharedGet,1,3.70,0.00201
LockUnlockSharedGet,8,3.58,0.01666
LockUnlockSharedGet,64,3.74,0.1275
LockUnlockSharedGet,512,4.06,0.9385
LockUnlockSharedGet,4096,7.18,4.2490
LockUnlockSharedGet,32768,29.3,8.3316
LockUnlockSharedGet,262144,227,8.6111
FencePut,1,3.93,0.00189
FencePut,8,3.96,0.01506
FencePut,64,3.82,0.1248
FencePut,512,4.26,0.8952
FencePut,4096,5.88,5.1941
FencePut,32768,20.4,11.9526
FencePut,262144,151,12.9631
SendRecv,1,0.504,0.02959
SendRecv,8,0.536,0.2225
SendRecv,64,0.647,1.4744
SendRecv,512,2.68,2.8488
SendRecv,4096,4.50,13.5759
SendRecv,32768,18.6,26.2183
SendRecv,262144,151,25.9210
