--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
--------------------------------------------------------------------------------------------------------------------------------------
benchmark_sendrecv/manual_time_mean                                               1.00 ms        0.999 ms           50 bytes_per_second=14.8677Gi/s
benchmark_sendrecv/manual_time_median                                             1.00 ms        0.997 ms           50 bytes_per_second=14.9007Gi/s
benchmark_sendrecv/manual_time_stddev                                            0.008 ms        0.008 ms           50 bytes_per_second=115.114Mi/s
benchmark_sendrecv/manual_time_cv                                                 0.78 %          0.75 %            50 bytes_per_second=0.76%
benchmark_channel_sendrecv/manual_time_mean                                      0.535 ms        0.533 ms           50 bytes_per_second=27.8558Gi/s
benchmark_channel_sendrecv/manual_time_median                                    0.535 ms        0.534 ms           50 bytes_per_second=27.836Gi/s
benchmark_channel_sendrecv/manual_time_stddev                                    0.004 ms        0.004 ms           50 bytes_per_second=206.373Mi/s
benchmark_channel_sendrecv/manual_time_cv                                         0.73 %          0.74 %            50 bytes_per_second=0.72%
benchmark_2dhalo/manual_time_mean                                                0.019 ms        0.019 ms           50 active_ranks=1 bytes_per_second=4.83926Gi/s nx=512
benchmark_2dhalo/manual_time_median                                              0.019 ms        0.019 ms           50 active_ranks=1 bytes_per_second=4.83522Gi/s nx=512
benchmark_2dhalo/manual_time_stddev                                              0.000 ms        0.000 ms           50 active_ranks=4.60885n bytes_per_second=24.8286Mi/s nx=2.35973u
benchmark_2dhalo/manual_time_cv                                                   0.50 %          0.69 %            50 active_ranks=0.00% bytes_per_second=0.50% nx=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time_mean                     0.384 us         1.50 us           50 bytes=2
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time_median                   0.383 us         1.50 us           50 bytes=2
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time_stddev                   0.002 us        0.014 us           50 bytes=9.2177n
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time_cv                        0.51 %          0.92 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time_mean                     0.384 us         1.50 us           50 bytes=16
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time_median                   0.383 us         1.50 us           50 bytes=16
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time_stddev                   0.002 us        0.012 us           50 bytes=73.7416n
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time_cv                        0.48 %          0.83 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time_mean                    0.409 us         1.40 us           50 bytes=128
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time_median                  0.409 us         1.40 us           50 bytes=128
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time_stddev                  0.002 us        0.013 us           50 bytes=589.933n
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time_cv                       0.46 %          0.90 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time_mean                   0.441 us         1.64 us           50 bytes=1.024k
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time_median                 0.440 us         1.64 us           50 bytes=1.024k
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time_stddev                 0.001 us        0.010 us           50 bytes=4.71946u
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time_cv                      0.33 %          0.60 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time_mean                  0.874 us         1.97 us           50 bytes=8.192k
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time_median                0.871 us         1.97 us           50 bytes=8.192k
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time_stddev                0.021 us        0.012 us           50 bytes=37.7557u
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time_cv                     2.41 %          0.63 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time_mean                  4.94 us         5.33 us           50 bytes=65.536k
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time_median                4.93 us         5.33 us           50 bytes=65.536k
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time_stddev               0.020 us        0.026 us           50 bytes=302.046u
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time_cv                    0.41 %          0.49 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time_mean                 19.2 us         19.6 us           50 bytes=524.288k
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time_median               19.1 us         19.5 us           50 bytes=524.288k
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time_stddev              0.187 us        0.173 us           50 bytes=2.41637m
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time_cv                   0.97 %          0.88 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time_mean                 125 us          125 us           50 bytes=4.1943M
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time_median               125 us          125 us           50 bytes=4.1943M
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time_stddev              1.07 us         1.03 us           50 bytes=0.0193309
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time_cv                  0.86 %          0.83 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time_mean               1272 us         1265 us           50 bytes=33.5544M
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time_median             1274 us         1266 us           50 bytes=33.5544M
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time_stddev             14.4 us         14.1 us           50 bytes=0.154647
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time_cv                 1.13 %          1.12 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time_mean             13691 us        13641 us           50 bytes=268.435M
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time_median           13672 us        13620 us           50 bytes=268.435M
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time_stddev            94.0 us          112 us           50 bytes=1.23718
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time_cv                0.69 %          0.82 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time_mean             27856 us        27748 us           50 bytes=536.871M
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time_median           27813 us        27714 us           50 bytes=536.871M
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time_stddev             198 us          209 us           50 bytes=2.47436
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time_cv                0.71 %          0.75 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time_mean                0.369 us         1.17 us           50 bytes=2
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time_median              0.369 us         1.17 us           50 bytes=2
