--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
--------------------------------------------------------------------------------------------------------------------------------------
benchmark_sendrecv/manual_time_mean                                               1.01 ms         1.00 ms           50 bytes_per_second=14.8164Gi/s
benchmark_sendrecv/manual_time_median                                             1.00 ms         1.00 ms           50 bytes_per_second=14.8282Gi/s
benchmark_sendrecv/manual_time_stddev                                            0.005 ms        0.004 ms           50 bytes_per_second=68.9171Mi/s
benchmark_sendrecv/manual_time_cv                                                 0.46 %          0.42 %            50 bytes_per_second=0.45%
benchmark_channel_sendrecv/manual_time_mean                                      0.537 ms        0.536 ms           50 bytes_per_second=27.7326Gi/s
benchmark_channel_sendrecv/manual_time_median                                    0.538 ms        0.536 ms           50 bytes_per_second=27.72Gi/s
benchmark_channel_sendrecv/manual_time_stddev                                    0.004 ms        0.003 ms           50 bytes_per_second=190.72Mi/s
benchmark_channel_sendrecv/manual_time_cv                                         0.67 %          0.65 %            50 bytes_per_second=0.67%
benchmark_2dhalo/manual_time_mean                                                0.019 ms        0.019 ms           50 active_ranks=1 bytes_per_second=4.84992Gi/s nx=512
benchmark_2dhalo/manual_time_median                                              0.019 ms        0.019 ms           50 active_ranks=1 bytes_per_second=4.85588Gi/s nx=512
benchmark_2dhalo/manual_time_stddev                                              0.000 ms        0.000 ms           50 active_ranks=4.60885n bytes_per_second=29.2704Mi/s nx=2.35973u
benchmark_2dhalo/manual_time_cv                                                   0.59 %          0.65 %            50 active_ranks=0.00% bytes_per_second=0.59% nx=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time_mean                     0.366 us         1.25 us           50 bytes=2
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time_median                   0.365 us         1.25 us           50 bytes=2
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time_stddev                   0.002 us        0.023 us           50 bytes=9.2177n
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time_cv                        0.67 %          1.85 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time_mean                     0.364 us         1.20 us           50 bytes=16
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time_median                   0.363 us         1.19 us           50 bytes=16
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time_stddev                   0.001 us        0.029 us           50 bytes=73.7416n
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time_cv                        0.37 %          2.39 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time_mean                    0.380 us         1.17 us           50 bytes=128
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time_median                  0.379 us         1.17 us           50 bytes=128
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time_stddev                  0.001 us        0.018 us           50 bytes=589.933n
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time_cv                       0.21 %          1.58 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time_mean                   0.440 us         1.42 us           50 bytes=1.024k
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time_median                 0.441 us         1.42 us           50 bytes=1.024k
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time_stddev                 0.002 us        0.013 us           50 bytes=4.71946u
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time_cv                      0.38 %          0.89 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time_mean                  0.963 us         1.98 us           50 bytes=8.192k
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time_median                0.967 us         1.97 us           50 bytes=8.192k
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time_stddev                0.022 us        0.009 us           50 bytes=37.7557u
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time_cv                     2.29 %          0.43 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time_mean                  5.34 us         5.68 us           50 bytes=65.536k
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time_median                5.34 us         5.67 us           50 bytes=65.536k
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time_stddev               0.023 us        0.028 us           50 bytes=302.046u
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time_cv                    0.43 %          0.49 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time_mean                 19.7 us         20.2 us           50 bytes=524.288k
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time_median               19.7 us         20.2 us           50 bytes=524.288k
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time_stddev              0.096 us        0.082 us           50 bytes=2.41637m
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time_cv                   0.49 %          0.40 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time_mean                 127 us          127 us           50 bytes=4.1943M
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time_median               127 us          127 us           50 bytes=4.1943M
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time_stddev             0.258 us        0.483 us           50 bytes=0.0193309
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time_cv                  0.20 %          0.38 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time_mean               1284 us         1278 us           50 bytes=33.5544M
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time_median             1280 us         1273 us           50 bytes=33.5544M
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time_stddev             16.8 us         17.2 us           50 bytes=0.154647
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time_cv                 1.30 %          1.35 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time_mean             13718 us        13673 us           50 bytes=268.435M
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time_median           13699 us        13658 us           50 bytes=268.435M
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time_stddev            99.6 us         92.8 us           50 bytes=1.23718
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time_cv                0.73 %          0.68 %            50 bytes=0.00%
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time_mean             27861 us        27766 us           50 bytes=536.871M
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time_median           27844 us        27750 us           50 bytes=536.871M
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time_stddev             144 us          154 us           50 bytes=2.47436
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time_cv                0.52 %          0.56 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time_mean                0.349 us         1.21 us           50 bytes=2
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time_median              0.349 us         1.21 us           50 bytes=2
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time_stddev              0.001 us        0.007 us           50 bytes=9.2177n
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time_cv                   0.34 %          0.55 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time_mean                0.354 us         1.17 us           50 bytes=16
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time_median              0.353 us         1.17 us           50 bytes=16
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time_stddev              0.002 us        0.006 us           50 bytes=73.7416n
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time_cv                   0.57 %          0.51 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/64/manual_time_mean               0.428 us         1.30 us           50 bytes=128
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/64/manual_time_median             0.427 us         1.30 us           50 bytes=128
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/64/manual_time_stddev             0.002 us        0.018 us           50 bytes=589.933n
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/64/manual_time_cv                  0.48 %          1.40 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/512/manual_time_mean              0.509 us         1.63 us           50 bytes=1.024k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/512/manual_time_median            0.507 us         1.62 us           50 bytes=1.024k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/512/manual_time_stddev            0.008 us        0.021 us           50 bytes=4.71946u
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/512/manual_time_cv                 1.48 %          1.31 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/4096/manual_time_mean             0.505 us         1.90 us           50 bytes=8.192k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/4096/manual_time_median           0.503 us         1.90 us           50 bytes=8.192k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/4096/manual_time_stddev           0.009 us        0.006 us           50 bytes=37.7557u
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/4096/manual_time_cv                1.75 %          0.32 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/32768/manual_time_mean             5.19 us         5.56 us           50 bytes=65.536k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/32768/manual_time_median           5.19 us         5.56 us           50 bytes=65.536k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/32768/manual_time_stddev          0.025 us        0.025 us           50 bytes=302.046u
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/32768/manual_time_cv               0.48 %          0.44 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/262144/manual_time_mean            20.0 us         20.4 us           50 bytes=524.288k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/262144/manual_time_median          20.0 us         20.4 us           50 bytes=524.288k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/262144/manual_time_stddev         0.093 us        0.093 us           50 bytes=2.41637m
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/262144/manual_time_cv              0.46 %          0.46 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/2097152/manual_time_mean            128 us          128 us           50 bytes=4.1943M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/2097152/manual_time_median          127 us          128 us           50 bytes=4.1943M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/2097152/manual_time_stddev        0.535 us        0.535 us           50 bytes=0.0193309
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/2097152/manual_time_cv             0.42 %          0.42 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/16777216/manual_time_mean          1284 us         1278 us           50 bytes=33.5544M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/16777216/manual_time_median        1283 us         1277 us           50 bytes=33.5544M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/16777216/manual_time_stddev        18.7 us         18.5 us           50 bytes=0.154647
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/16777216/manual_time_cv            1.46 %          1.45 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/134217728/manual_time_mean        13661 us        13620 us           50 bytes=268.435M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/134217728/manual_time_median      13633 us        13592 us           50 bytes=268.435M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/134217728/manual_time_stddev       92.1 us         91.6 us           50 bytes=1.23718
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/134217728/manual_time_cv           0.67 %          0.67 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/268435456/manual_time_mean        27800 us        27714 us           50 bytes=536.871M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/268435456/manual_time_median      27773 us        27687 us           50 bytes=536.871M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/268435456/manual_time_stddev        136 us          136 us           50 bytes=2.47436
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/268435456/manual_time_cv           0.49 %          0.49 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/1/manual_time_mean                           1.22 us         1.63 us           50 bytes=2
benchmark_osu_latency_MPI_isendirecv/1/manual_time_median                         1.22 us         1.62 us           50 bytes=2
benchmark_osu_latency_MPI_isendirecv/1/manual_time_stddev                        0.007 us        0.007 us           50 bytes=9.2177n
benchmark_osu_latency_MPI_isendirecv/1/manual_time_cv                             0.60 %          0.44 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/8/manual_time_mean                           1.21 us         1.62 us           50 bytes=16
benchmark_osu_latency_MPI_isendirecv/8/manual_time_median                         1.21 us         1.61 us           50 bytes=16
benchmark_osu_latency_MPI_isendirecv/8/manual_time_stddev                        0.007 us        0.007 us           50 bytes=73.7416n
benchmark_osu_latency_MPI_isendirecv/8/manual_time_cv                             0.61 %          0.45 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/64/manual_time_mean                          1.24 us         1.65 us           50 bytes=128
benchmark_osu_latency_MPI_isendirecv/64/manual_time_median                        1.24 us         1.64 us           50 bytes=128
benchmark_osu_latency_MPI_isendirecv/64/manual_time_stddev                       0.006 us        0.006 us           50 bytes=589.933n
